ID,Titulo,DOI,decisao,motivacao
LZBIM3PT,Performance evaluation of boosting machine learning algorithms for lithofacies classification in heterogeneous carbonate reservoirs,10.1016/j.marpetgeo.2022.105886,Reprovado,"Foco principal em operacao/engenharia do ativo, nao em decisao SCM/SCRM."
9HL57A4A,Optimization-based integrated decision model for smart resource management in the petrochemical industry,10.1016/j.jiec.2022.05.051,Aprovado,SCM petroquimica com plataforma decisoria integrada e uso de redes neurais/forecasting.
H4BYTH8R,Digital-twin assisted: Fault diagnosis using deep transfer learning for machining tool condition,10.1002/int.22493,Reprovado,"Foco principal em operacao/engenharia do ativo, nao em decisao SCM/SCRM."
VELXK8IS,Probability Prediction Approach of Fatigue Failure for the Subsea Wellhead Using Bayesian Regularization Artificial Neural Network,10.3390/jmse10111627,Reprovado,Excluido por tipo de estudo/metodo nao elegivel no metadata: case study.
KBC56IP8,Electronic Prognostics Innovations for Applications to Aerospace Systems,10.1109/AERO55745.2023.10115812,Reprovado,"Foco principal em operacao/engenharia do ativo, nao em decisao SCM/SCRM."
4LHVZ4QJ,Machine Learning and Synthetic Minority Oversampling Techniques for Imbalanced Data: Improving Machine Failure Prediction,10.32604/cmc.2023.034470,Reprovado,"Nao apresenta foco direto em supply chain, procurement, logistica ou risco na cadeia."
CMSPK77H,Predicting Solar Power and Energy Production Over the Course of a Full Day,10.1117/12.2663000,Reprovado,Metadata nao situa o estudo de forma clara em oleo/gas ou petroquimica.
J9EEQAGM,NEMO: A MULTI-DRAFT MOORING LINE FAILURE DETECTION SYSTEM BASED ON FPSO PREDICTED MOTION,10.1115/OMAE2023-104351,Reprovado,"Nao apresenta foco direto em supply chain, procurement, logistica ou risco na cadeia."
6HN4NCEU,An Inferable Machine Learning Approach for Reservoir Lithology Characterization Using Drilling Data,10.2118/217485-STU,Reprovado,"Foco principal em operacao/engenharia do ativo, nao em decisao SCM/SCRM."
583FSDBK,"Future Proofing Subsurface Skills During the Energy Transition, 2030-2050",10.2118/215075-MS,Reprovado,Workshop sobre skills e transicao energetica; nao e estudo primario de SCM/SCRM com IA.
