ID,Titulo,DOI,Decisao,Motivacao
1,Performance evaluation of boosting machine learning algorithms for lithofacies classification in heterogeneous carbonate reservoirs,10.1016/j.marpetgeo.2022.105886,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, petroleum, oil field] + IA[machine learning, gradient boosting, xgboost]"
2,Optimization-based integrated decision model for smart resource management in the petrochemical industry,10.1016/j.jiec.2022.05.051,Aprovado,"Alta relevância: interseção clara dos 3 temas. O&G[petrochemical, petrochemical industry] + IA[neural networks] + SCM[supply chain, inventory, purchasing]"
3,Digital-twin assisted: Fault diagnosis using deep transfer learning for machining tool condition,10.1002/int.22493,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[drilling] + IA[deep learning, transfer learning, digital twin] + SCM[logistics]"
4,Probability Prediction Approach of Fatigue Failure for the Subsea Wellhead Using Bayesian Regularization Artificial Neural Network,10.3390/jmse10111627,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, subsea] + IA[neural network, logistic regression]"
5,Electronic Prognostics Innovations for Applications to Aerospace Systems,10.1109/AERO55745.2023.10115812,Sinalizado,"Tema ausente: O&G não explícito, mas termos secundários presentes (score=2). IA[machine learning, neural networks, support vector] + SCM[logistics]"
6,Machine Learning and Synthetic Minority Oversampling Techniques for Imbalanced Data: Improving Machine Failure Prediction,10.32604/cmc.2023.034470,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, gas industry] + IA[machine learning, support vector, logistic regression] + SCM[logistics]"
7,Predicting Solar Power and Energy Production Over the Course of a Full Day,10.1117/12.2663000,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[e&p] + IA[artificial intelligence, machine learning]"
8,NEMO: A MULTI-DRAFT MOORING LINE FAILURE DETECTION SYSTEM BASED ON FPSO PREDICTED MOTION,10.1115/OMAE2023-104351,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[offshore, fpso] + IA[machine learning, neural network, logistic regression]"
9,An Inferable Machine Learning Approach for Reservoir Lithology Characterization Using Drilling Data,10.2118/217485-STU,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, petroleum, drilling] + IA[machine learning, neural networks, random forest] + SCM[logistics]"
10,"Future Proofing Subsurface Skills During the Energy Transition, 2030-2050",10.2118/215075-MS,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, o&g, o&g] + IA[artificial intelligence, machine learning] + SCM[supply chain]"
11,"Decline Curve Analysis using Machine Learning Algorithms: RNN, LSTM, and GRU",10.56952/ARMA-2023-0287,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, petroleum, hydrocarbon] + IA[machine learning, neural network, lstm]"
12,IA Applied to IIoT Intrusion Detection: An Overview,10.1109/WINCOM59760.2023.10323032,Aprovado,"Alta relevância: interseção clara dos 3 temas. O&G[oil and gas, petroleum, gas industry] + IA[artificial intelligence, machine learning, deep learning] + SCM[supply chain, transportation, chain management]"
13,Real-Time Lithology Prediction While Drilling Using Machine Learning Algorithms: A Web Application Based Solution,10.2118/217479-STU,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[petroleum, drilling, oil field] + IA[machine learning, random forest, support vector]"
14,Best Practices for Building a Modern and Resilient Supply Chain Framework in the Oil and Gas Industry,10.2118/215114-MS,Aprovado,"Alta relevância: interseção clara dos 3 temas. O&G[oil and gas, petroleum, gas industry] + IA[artificial intelligence] + SCM[supply chain, chain management]"
15,Use of AI tools to understand and model surface-interaction based EOR processes,10.1016/j.acags.2022.100111,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[hydrocarbon, oil recovery, enhanced oil] + IA[artificial intelligence, machine learning, reinforcement]"
16,Machine learning analysis of adrenal lesions: preliminary study evaluating texture analysis in the differentiation of adrenal lesions,10.5152/dir.2022.21266,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
17,Machine-Learning-Based Classification for Pipeline Corrosion with Monte Carlo Probabilistic Analysis,10.3390/en16083589,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, gas industry] + IA[machine learning, random forest, support vector] + SCM[inspection]"
18,Applying Machine Learning to the Fuel Theft Problem on Pipelines,10.1061/JPSEA2.PSENG-1374,Aprovado,"Alta relevância: interseção clara dos 3 temas. O&G[oil and gas, petroleum, gas industry] + IA[machine learning, random forest, xgboost] + SCM[transportation, inspection]"
19,A stochastic optimization algorithm for the supply vessel planning problem under uncertain demand and uncertain weather conditions,10.1016/j.oceaneng.2023.114428,Aprovado,"Alta relevância: interseção clara dos 3 temas. O&G[oil and gas, petroleum, offshore] + IA[genetic algorithm, optimization algorithm] + SCM[logistics, transportation]"
20,Application of machine learning algorithms in classification the flow units of the Kazhdumi reservoir in one of the oil fields in southwest of Iran,10.1007/s13202-023-01618-1,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[petroleum, reservoir] + IA[artificial intelligence, machine learning, neural network]"
21,"Establishing a Robust Model Using Stacked Generalization for Gas Identification of Coal-Bearing Strata in Block A, Northeastern Ordos Basin, China",10.2118/212869-PA,Sinalizado,"Tema ausente: SCM/SCRM não explícito, mas termos secundários presentes (score=2). O&G[oil and gas, petroleum, reservoir] + IA[machine learning, neural network, random forest]"
22,Prediction of geopolymer pumpability and setting time for well zonal isolation - Using machine learning and statistical based models,10.1016/j.heliyon.2023.e17925,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, gas industry] + IA[machine learning, neural networks, random forest] + SCM[]"
23,Holistic Approach Promotes Failure Prevention of Smart Mining Machines Based on Bayesian Networks,10.3390/machines11100940,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[drilling] + IA[artificial intelligence, machine learning, bayesian networks] + SCM[logistics]"
24,Using artificial intelligence to find design errors in the engineering drawings,10.1002/smr.2543,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, petrochemical] + IA[artificial intelligence, machine learning, deep learning] + SCM[procurement]"
25,An ensemble-based machine learning solution for imbalanced multiclass dataset during lithology log generation,10.1038/s41598-023-49080-7,Sinalizado,"Tema ausente: SCM/SCRM não explícito, mas termos secundários presentes (score=2). O&G[drilling, oilfield, oilfield] + IA[machine learning, random forest, support vector]"
26,Generalization and Stability of Interpolating Neural Networks with Minimal Width,,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
27,Screening of Enhanced Oil Recovery Methods Using Supervised Machine Learning Predicated on Range Data,10.1007/978-3-031-68639-9_28,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[petroleum, oilfield, oilfield] + IA[machine learning, random forest, supervised learning] + SCM[logistics]"
28,Carbon intensity of global crude oil trading and market policy implications,10.1038/s41467-023-41701-z,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[petroleum, crude oil, refinery] + IA[neural network, deep neural] + SCM[supply chain]"
