ID,Titulo,DOI,Decisao,Motivacao
ART_1,Performance evaluation of boosting machine learning algorithms for lithofacies classification in heterogeneous carbonate reservoirs,10.1016/j.marpetgeo.2022.105886,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=8, IA=5"
ART_2,Optimization-based integrated decision model for smart resource management in the petrochemical industry,10.1016/j.jiec.2022.05.051,Aprovado,O&G(2) + IA(3) + SCM_core(3) + Score(24.0)
ART_3,Digital-twin assisted: Fault diagnosis using deep transfer learning for machining tool condition,10.1002/int.22493,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=15.5; verificar profundidade SCM"
ART_4,Probability Prediction Approach of Fatigue Failure for the Subsea Wellhead Using Bayesian Regularization Artificial Neural Network,10.3390/jmse10111627,Reprovado,"Apenas SCM contextual(1), sem core; O&G=4, IA=4"
ART_5,Electronic Prognostics Innovations for Applications to Aerospace Systems,10.1109/AERO55745.2023.10115812,Reprovado,"Score insuficiente (13.0); O&G=0, IA=8, SCM_core=1"
ART_6,Machine Learning and Synthetic Minority Oversampling Techniques for Imbalanced Data: Improving Machine Failure Prediction,10.32604/cmc.2023.034470,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=17.0; verificar profundidade SCM"
ART_7,Predicting Solar Power and Energy Production Over the Course of a Full Day,10.1117/12.2663000,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=2, IA=4"
ART_8,NEMO: A MULTI-DRAFT MOORING LINE FAILURE DETECTION SYSTEM BASED ON FPSO PREDICTED MOTION,10.1115/OMAE2023-104351,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=2, IA=4"
ART_9,An Inferable Machine Learning Approach for Reservoir Lithology Characterization Using Drilling Data,10.2118/217485-STU,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=32.0; verificar profundidade SCM"
ART_10,"Future Proofing Subsurface Skills During the Energy Transition, 2030-2050",10.2118/215075-MS,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=15.0; verificar profundidade SCM"
ART_11,"Decline Curve Analysis using Machine Learning Algorithms: RNN, LSTM, and GRU",10.56952/ARMA-2023-0287,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=4, IA=6"
ART_12,IA Applied to IIoT Intrusion Detection: An Overview,10.1109/WINCOM59760.2023.10323032,Aprovado,O&G(3) + IA(4) + SCM_core(2) + Score(21.0)
ART_13,Real-Time Lithology Prediction While Drilling Using Machine Learning Algorithms: A Web Application Based Solution,10.2118/217479-STU,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=5, IA=6"
ART_14,Best Practices for Building a Modern and Resilient Supply Chain Framework in the Oil and Gas Industry,10.2118/215114-MS,Aprovado,SCM no titulo + O&G(4) + IA(2) + Score(21.5)
ART_15,Use of AI tools to understand and model surface-interaction based EOR processes,10.1016/j.acags.2022.100111,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=1, IA=3"
ART_16,Machine learning analysis of adrenal lesions: preliminary study evaluating texture analysis in the differentiation of adrenal lesions,10.5152/dir.2022.21266,Reprovado,Tipo excluido: preliminary study
ART_17,Machine-Learning-Based Classification for Pipeline Corrosion with Monte Carlo Probabilistic Analysis,10.3390/en16083589,Reprovado,"Apenas SCM contextual(1), sem core; O&G=2, IA=5"
ART_18,Applying Machine Learning to the Fuel Theft Problem on Pipelines,10.1061/JPSEA2.PSENG-1374,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=20.0; verificar profundidade SCM"
ART_19,A stochastic optimization algorithm for the supply vessel planning problem under uncertain demand and uncertain weather conditions,10.1016/j.oceaneng.2023.114428,Aprovado,O&G(4) + IA(2) + SCM_core(2) + Score(23.0)
ART_20,Application of machine learning algorithms in classification the flow units of the Kazhdumi reservoir in one of the oil fields in southwest of Iran,10.1007/s13202-023-01618-1,Reprovado,"Apenas SCM contextual(1), sem core; O&G=2, IA=8"
ART_21,"Establishing a Robust Model Using Stacked Generalization for Gas Identification of Coal-Bearing Strata in Block A, Northeastern Ordos Basin, China",10.2118/212869-PA,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=3, IA=8"
ART_22,Prediction of geopolymer pumpability and setting time for well zonal isolation - Using machine learning and statistical based models,10.1016/j.heliyon.2023.e17925,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=1, IA=6"
ART_23,Holistic Approach Promotes Failure Prevention of Smart Mining Machines Based on Bayesian Networks,10.3390/machines11100940,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=15.0; verificar profundidade SCM"
ART_24,Using artificial intelligence to find design errors in the engineering drawings,10.1002/smr.2543,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=18.5; verificar profundidade SCM"
ART_25,An ensemble-based machine learning solution for imbalanced multiclass dataset during lithology log generation,10.1038/s41598-023-49080-7,Reprovado,"Apenas SCM contextual(1), sem core; O&G=3, IA=10"
ART_26,Generalization and Stability of Interpolating Neural Networks with Minimal Width,,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=0, IA=1"
ART_27,Screening of Enhanced Oil Recovery Methods Using Supervised Machine Learning Predicated on Range Data,10.1007/978-3-031-68639-9_28,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=23.0; verificar profundidade SCM"
ART_28,Carbon intensity of global crude oil trading and market policy implications,10.1038/s41467-023-41701-z,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=16.5; verificar profundidade SCM"
ART_29,A Real-Time Secure-Based Oil and Gas Supply Chain Management using Blockchain,10.1109/NIGERCON62786.2024.10927207,Aprovado,SCM no titulo + O&G(3) + IA(2) + Score(23.5)
ART_30,Exploratory Analysis of Machine Learning Methods for Total Organic Carbon Prediction Using Well-Log Data of Kolmani Field,10.1109/ICPRS62101.2024.10677822,Reprovado,"Apenas SCM contextual(1), sem core; O&G=4, IA=7"
ART_31,OPERATIONS OPTIMISATION OF A GAS-LIFT COMPRESSION SYSTEM USING A DIGITAL-TWIN APPROACH,10.1115/GT2024-125917,Reprovado,"Score insuficiente (13.0); O&G=3, IA=0, SCM_core=1"
ART_32,Leveraging Large Language Models for Cost Management and Supply Chain Optimization,10.2118/221022-MS,Aprovado,SCM no titulo + O&G(7) + IA(5) + Score(27.5)
ART_33,Reliable deep learning framework for the ground penetrating radar data to locate the horizontal variation in levee soil compaction,10.1016/j.engappai.2023.107627,Reprovado,"Apenas SCM contextual(1), sem core; O&G=1, IA=5"
ART_34,An approximated dynamic programming model for the supply vessel fleet sizing problem,10.1016/j.cor.2023.106510,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=15.5; verificar profundidade SCM"
ART_35,A Transformer and LSTM-Based Approach for Blind Well Lithology Prediction,10.3390/sym16050616,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=2, IA=8"
ART_36,A Novel Multiagent Collaborative Learning Architecture for Automatic Recognition of Mudstone Rock Facies,10.1109/ACCESS.2024.3507569,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=4, IA=6"
ART_37,Missing log prediction using machine learning perspectives: A case study from upper Assam basin,10.1007/s12145-024-01323-5,Reprovado,Tipo excluido: case study
ART_38,Machine Learning Techniques in Enhanced Oil Recovery Screening Using Semisupervised Label Propagation,10.2118/221475-PA,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=3, IA=7"
ART_39,Spatial classification model of port facilities and energy reserve prediction based on deep learning for port management―A case study of Ningbo,10.1016/j.ocecoaman.2024.107413,Reprovado,Tipo excluido: case study
ART_40,The use of machine and deep learning to model the relationship between discomfort temperature and labor productivity loss among petrochemical workers,10.1186/s12889-024-20713-4,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=2, IA=10"
ART_41,Novel Adaptive Hidden Markov Model Utilizing Expectation–Maximization Algorithm for Advanced Pipeline Leak Detection,10.3390/modelling5040069,Reprovado,"Sem sinal de SCM/SCRM/logistica; O&G=3, IA=3"
ART_42,Predicting the Rate of Penetration while Horizontal Drilling through Unconventional Reservoirs Using Artificial Intelligence,10.1021/acsomega.4c08006,Sinalizado,"3 dimensoes presentes; SCM_core=1, score=19.0; verificar profundidade SCM"
